ID,Part Number,x,y,rotation,sector
1,D1,2.6314980737335802,-3.432323249336586,142.52329215011352,A0
2,D2,6.6341402221767405,-2.4227773688813072,110.06211240030277,A1
3,D3,7.637436248164726,-6.436839355503045,310.1242248006055,A2
4,D4,10.20519716772547,-11.249740401501779,137.78726985140008,A3
5,D5,11.903117108715756,-6.255944753821352,117.72515745109712,A4
6,D6,11.340682831759906,-1.525872835273683,97.66304505079457,A5
7,D7,14.510406631432163,1.2021575287053057,445.263977701287,A6
8,D8,18.494384058059687,-0.9456302905051409,272.92702275208194,A7
9,D9,15.60716658558651,-4.277277308025745,285.3260901015891,A8
10,D10,14.394604121899459,-10.225252507418181,305.3882025018921,A9
11,D11,15.375157116041393,-14.363298204928714,133.05124755268625,A10
12,D12,18.245542878621976,-7.7406905418293865,112.98913515238411,A11
13,D13,21.397908042091572,-4.000670538238078,100.5900678028761,A12
14,D14,23.54528695123329,0.7436424212953356,628.1910004533681,A13
15,D15,26.052597510813076,-2.6711569789593073,275.8540455041639,A14
16,D16,23.355523641364115,-7.702903593516866,288.25311285367025,A15
17,D17,19.68810802115921,-11.667729108406936,300.65218020317826,A16
18,D18,20.075893604792487,-15.863649358487855,308.31522525397406,A17
19,D19,15.165332884426464,-18.537848989869346,320.714292603482,A18
20,D20,17.948180511044523,-24.38110828783141,143.64131535556237,A19
21,D21,19.478366174087153,-20.155135851394732,135.97827030476822,A20
22,D22,24.526835354128487,-16.28276100189419,123.57920295526183,A21
23,D23,24.396979410239307,-11.855040235684253,115.91615790446443,A22
24,D24,27.78827107721337,-6.680140882195043,103.51709055495806,A23
25,D25,29.958774448077214,-0.5846653480716948,91.11802320544844,A24
26,D26,33.24827002382955,2.1022901217127137,626.3820009067363,A25
27,D27,31.699102760015595,-4.896555851817868,278.7810682562458,A26
28,D28,32.662105426862595,-9.640312188125094,286.44411330703997,A27
29,D29,28.705982904486973,-11.122868881451774,291.1801356057522,A28
30,D30,28.76898639988901,-15.844130244026273,298.84318065654634,A29
31,D31,23.749928994801866,-20.822444767010495,311.242248006056,A30
32,D32,22.08168054163839,-25.317426662091112,318.90529305685016,A31
33,D33,26.262502552971103,-25.511776718250207,134.16927075813794,A32
34,D34,27.95568570981836,-20.690820504767903,126.50622570734053,A33
35,D35,32.05508682796135,-19.851924552845215,121.77020340863157,A34
36,D36,32.79278289174147,-14.673837780727574,114.10715835783417,A35
37,D37,36.266499716118865,-7.5157721941317055,101.7080910083278,A36
38,D38,35.137333576189455,-2.4848033099065447,94.04504595753039,A37
39,D39,38.112888338635265,0.45965656025640667,629.3090236588149,A38
40,D40,39.50199189873924,-4.830688636064874,276.97206870961236,A39
41,D41,40.06519603345991,-10.46242603161878,284.63511376040975,A40
42,D42,36.5700214336856,-12.857633556495097,289.3711360591187,A41
43,D43,36.001857179315564,-18.37092439082742,297.0341811099161,A42
44,D44,30.43321306497515,-25.027712990639515,309.4332484594225,A43
45,D45,27.93229776656375,-30.05483308022218,317.0962935102199,A44
46,D46,23.70529731307681,-30.1590458397692,321.83231580892885,A45
47,D47,24.57858538996891,-34.789923328860716,144.7593385610108,A46
48,D48,28.92170892747336,-34.49604993398289,140.02331626230185,A47
49,D49,32.1707583346816,-29.335058232511617,132.36027121150443,A48
50,D50,34.536726662282014,-23.91188971595829,124.69722616070702,A49
51,D51,38.51726093496899,-22.203190125163953,119.96120386199807,A50
52,D52,39.74818014216345,-16.300424597316177,112.29815881120065,A51
53,D53,43.24671991464107,-13.687219097559133,107.5621365124917,A52
54,D54,43.24046509782014,-7.545962703605012,99.8990914616943,A53
55,D55,42.34390596742906,-1.6533685074797895,92.23604641089688,A54
56,D56,44.76513301774335,1.954469042240574,447.50002411218793,A55
57,D57,48.482398431089,-0.36136413187431926,270.42704686426987,A56
58,D58,46.05818904847059,-4.161691952641003,275.16306916297884,A57
59,D59,46.451772988933065,-10.575850770409073,282.82611421377624,A58
60,D60,45.89593150347495,-17.149888622427543,290.48915926456715,A59
61,D61,42.32088588943784,-19.937420658981456,295.2251815632826,A60
62,D62,40.44244269352279,-26.15160279946767,302.88822661408005,A61
63,D63,36.36019500616083,-28.025642468650442,307.62424891278897,A62
64,D64,33.28657449919309,-33.62207235992949,315.2872939635864,A63
65,D65,29.327793433146216,-38.84919174203464,322.95033901438376,A64
66,D66,33.855214034661465,-37.88404324603251,138.21431671566833,A65
67,D67,38.35153650224269,-36.36664654942052,133.4782944169594,A66
68,D68,37.612746816707634,-32.1825752838745,130.5512716648709,A67
69,D69,41.841867703923015,-30.194238943559046,125.81524936616196,A68
70,D70,44.36168498098907,-23.73890243841997,118.15220431536456,A69
71,D71,48.06459703016699,-20.815527353260325,113.41618201665561,A70
72,D72,49.19334212632102,-13.876864995718488,105.75313696585819,A71
73,D73,52.16700759744478,-10.156411439486831,101.01711466714924,A72
74,D74,49.3200235298247,-7.010577414464856,98.09009191506078,A73
75,D75,51.811097859856105,-3.036468105614418,93.35406961635184,A74
76,D76,50.479735405983675,3.803542867101399,445.6910245655544,A75
77,D77,53.88800474990783,1.3000105412051886,628.6180473176298,A76
78,D78,56.975273483063695,-1.5367996605822065,271.54507006971835,A77
79,D79,54.774079571916,-6.028819567937656,276.28109236842727,A78
80,D80,54.621901291565464,-13.56221709853568,283.9441374192247,A79
81,D81,51.50055758729976,-17.412102635730744,288.68015971793363,A80
82,D82,49.78629368102533,-24.65264867122188,296.3432047687311,A81
83,D83,45.91770162036821,-27.676627676967833,301.07922706744,A82
84,D84,47.02107910031901,-31.72358145357398,304.0062498195284,A83
85,D85,42.75887685156002,-34.308145782886484,308.7422721182374,A84
86,D86,38.616838073757165,-40.55921114681455,316.4053171690348,A85
87,D87,33.927931162640924,-42.10947868777804,321.14133946774376,A86
88,D88,33.54252163168862,-46.28334915770862,144.06836221983224,A87
89,D89,38.43886589099025,-44.74036029151382,139.3323399211233,A88
90,D90,43.26231363043665,-42.65695198528686,134.5963176224013,A89
91,D91,43.224509678105576,-38.47010057287812,131.66929487032587,A90
92,D92,47.69499746124776,-35.85374702182329,126.93327257160391,A91
93,D93,51.083938964379584,-28.632075775550643,119.2702275208195,A92
94,D94,54.89547742111171,-25.056899755853287,114.53420522209754,A93
95,D95,53.39619617601223,-21.148792926929666,111.6071824700221,A94
96,D96,56.69873514690059,-17.195223883633698,106.87116017131315,A95
97,D97,57.38419157495975,-9.302552013022257,99.20811512051574,A96
98,D98,59.746500077411234,-4.672871547549742,94.47209282179375,A97
99,D99,58.735153602683226,3.2745009191031262,446.8090477710094,A98
100,D100,63.12664030256692,5.522811854209739,625.0000482243759,A99
101,D101,61.67168213110638,0.284088812006406,629.7360705230848,A100
102,D102,64.32310795055712,-2.991876542847721,272.6630932751733,A101
103,D103,62.20262589525679,-8.077734216230697,277.3991155738822,A102
104,D104,59.64829765145238,-12.825753868047723,282.13513787259114,A103
105,D105,61.569629041773304,-16.56914641711389,285.0621606246797,A104
106,D106,58.40624317335967,-21.025449064749562,289.7981829233886,A105
107,D107,56.008984552186995,-29.10827673416753,297.461227974186,A106
108,D108,51.973960254368826,-32.726266165634534,302.19725027289496,A107
109,D109,52.46876849884198,-36.90888554555568,305.1242730249834,A108
110,D110,47.95710731317924,-40.04193145714723,309.86029532369236,A109
111,D111,42.891162850426376,-46.84578893566496,317.52334037448975,A110
112,D112,37.84161244232632,-48.88962135359721,322.2593626731987,A111
113,D113,42.12700459652241,-51.014034674044154,140.4503631265652,A112
114,D114,47.3006064313938,-48.49500968713916,135.71434082785626,A113
115,D115,47.821614229646194,-44.263642953002666,132.7873180757678,A114
116,D116,52.57830644334229,-41.15453377069559,128.05129577705884,A115
117,D117,57.10794278836004,-37.534702771542825,123.3152734783499,A116
118,D118,56.74445692407685,-33.276135468604515,120.38825072626143,A117
119,D119,60.733340757416464,-29.16664168378329,115.65222842755249,A118
120,D120,59.74992342695746,-25.024824850656856,112.72520567546403,A119
121,D121,63.14924288455943,-20.505253345754756,107.98918337675508,A120
122,D122,66.16236692474163,-15.583022104709173,103.25316107804613,A121
123,D123,64.34219113041168,-11.723282697446052,100.32613832595766,A122
124,D124,66.68396214022742,-6.526805748658165,95.59011602724871,A123
125,D125,65.9750571430047,2.387982407234701,447.9270709764513,A124
126,D126,69.93442985051335,4.745491349722678,626.1180714298177,A125
127,D127,68.55875195101109,-1.0220637226051486,270.85409372853974,A126
128,D128,70.8685206631468,-4.68362260262299,273.7811164806152,A127
129,D129,68.74801423673702,-10.295484293550137,278.5171387793241,A128
130,D130,70.5087691501713,-14.27362566394809,281.44416153141265,A129
131,D131,67.6596429529021,-19.631570207681786,286.18018383012156,A130
132,D132,64.3869695570918,-24.607862590118092,290.91620612884356,A131
133,D133,65.28205185549044,-28.851670902573257,293.843228880919,A132
134,D134,61.35898565175591,-33.42518518703542,298.57925117962793,A133
135,D135,57.104569155777014,-41.85899761739502,306.2422962304253,A134
136,D136,52.31105950657899,-45.438568088858375,310.9783185291343,A135
137,D137,51.674738419712384,-49.736991105758506,313.9053412812227,A136
138,D138,46.404933179583225,-52.712730609076615,318.6413635799317,A137
139,D139,40.98398904589496,-55.139508070160495,323.3773858786537,A138
140,D140,43.530203564672455,-61.016752502501404,144.49540908410864,A139
141,D141,45.14480348360858,-56.89405037810513,141.56838633202017,A140
142,D142,50.67675260400712,-54.02638317383081,136.83236403331122,A141
143,D143,56.01616860738459,-50.607996119345906,132.09634173460228,A142
144,D144,56.73907174364894,-46.22468708387749,129.1693189825138,A143
145,D145,61.5448881573093,-42.1932196374128,124.43329668380485,A144
