ID,Part Number,x,y,rotation,sector
35,C35,30.694820234866075,-19.009502570873607,301.7702034086316,A34
36,C36,31.33232984444298,-14.020326574521764,294.1071583578342,A35
37,C37,34.69978905323242,-7.191091275693412,281.7080910083278,A36
38,C38,33.54131933714281,-2.371938130332177,274.0450459575304,A37
39,C39,36.51300468848147,0.4403613284464712,809.3090236588149,A38
40,C40,37.913823188099954,-4.63647188460825,456.97206870961236,A39
41,C41,38.51710882086481,-10.058166236190731,464.63511376040975,A40
42,C42,35.06059763955292,-12.326936081745036,469.3711360591187,A41
43,C43,34.57668033576898,-17.64368923998651,477.0341811099161,A42
44,C44,29.19742888511459,-24.011426878953262,489.4332484594225,A43
45,C45,26.843068556860466,-28.88283490243812,497.0962935102199,A44
46,C46,22.716553216817832,-28.901116941892607,501.83231580892885,A45
47,C47,23.655366063444454,-33.48314634898552,324.7593385610108,A46
48,C48,27.893747618519225,-33.26996039920441,320.0233162623018,A47
49,C49,30.988481977716816,-28.256993941403667,312.3602712115044,A48
50,C50,33.221252101665385,-23.00110616298289,304.69722616070703,A49
51,C51,37.13107891033166,-21.404128553961602,299.96120386199806,A50
52,C52,38.26782508350999,-15.693342312679967,292.29815881120066,A51
53,C53,41.721295469001575,-13.204435232205867,287.5621365124917,A52
54,C54,41.664285814127254,-7.2709011365743415,279.8990914616943,A53
55,C55,40.74512425896519,-1.5909421614279593,272.2360464108969,A54
56,C56,43.16665583384187,1.8846786951544832,627.5000241121879,A55
57,C57,46.88244287310856,-0.3494388441419296,450.42704686426987,A56
58,C58,44.464680871995306,-4.017706913465325,455.16306916297884,A57
59,C59,44.89169574754486,-10.220662086886401,462.82611421377624,A58
60,C60,44.39715000906823,-16.58984038162684,470.48915926456715,A59
61,C61,40.873462154113184,-19.255537582186886,475.2251815632826,A60
62,C62,39.098872356473876,-25.282799743877817,482.88822661408005,A61
63,C63,35.09294485461704,-27.048873789068505,487.62424891278897,A62
64,C64,32.16089079687748,-32.48504280783287,495.2872939635864,A63
65,C65,28.363782213135597,-37.57221000070329,502.95033901438376,A64
66,C66,32.78906015545718,-36.69101520534878,318.21431671566836,A65
67,C67,37.190520356648044,-35.265718981563055,313.4782944169594,A66
68,C68,36.39702762222266,-31.142370092500794,310.5512716648709,A67
69,C69,40.54441473941869,-29.257961311176985,305.815249366162,A68
70,C70,42.95096923142334,-22.983997759717283,298.15220431536454,A69
71,C71,46.59636915366441,-20.17967603206903,293.4161820166556,A70
72,C72,47.65343752865286,-13.44247596491723,285.7531369658582,A71
73,C73,50.596495367657845,-9.850647909794871,281.01711466714926,A72
74,C74,47.73594671577514,-6.785409372348296,278.0900919150608,A73
75,C75,50.21383858093954,-2.942858298890274,273.3540696163518,A74
76,C76,48.884258004693756,3.6833269697617625,625.6910245655545,A75
77,C77,52.288470132371074,1.2614228838318853,808.6180473176298,A76
78,C78,55.37585520409221,-1.4936583938889803,451.54507006971835,A77
79,C79,53.183684189992036,-5.85376949180243,456.28109236842727,A78
80,C80,53.06905147474841,-13.17665588885391,463.9441374192247,A79
81,C81,49.98484359968587,-16.89964667884118,468.68015971793363,A80
82,C82,48.35245036766047,-23.942653352421186,476.3432047687311,A81
83,C83,44.54737473938846,-26.850671116812087,481.07922706744,A82
84,C84,45.69471658687716,-30.828728123169363,484.0062498195284,A83
85,C85,41.510926613692625,-33.306836538044145,488.7422721182374,A84
86,C86,37.51355433601005,-39.40043377646994,496.4053171690348,A85
87,C87,32.92408894796857,-40.86356504388384,501.14133946774376,A86
88,C88,32.603610337461866,-44.98780078671916,324.06836221983224,A87
89,C89,37.39619328287808,-43.526756636158176,319.33233992112326,A88
90,C90,42.12299975583555,-41.533580321436716,314.59631762240133,A89
91,C91,42.02931835693427,-37.40637236238599,311.66929487032587,A90
92,C92,46.41606010111836,-34.8923317999419,306.9332725716039,A91
93,C93,49.68822144212899,-27.849789000715052,299.2702275208195,A92
94,C94,53.439935757971426,-24.39252149999085,294.5342052220975,A93
95,C95,51.90862764590488,-20.5596071597609,291.6071824700221,A94
96,C96,55.16759948645088,-16.730871012102536,286.87116017131314,A95
97,C97,55.804809798466515,-9.046518413506341,279.20811512051574,A96
98,C98,58.15137138826296,-4.548113922307365,274.47209282179375,A97
99,C99,57.137634295969015,3.1854387796983916,626.8090477710093,A98
100,C100,61.532728668249916,5.383364007367637,805.0000482243759,A99
101,C101,60.07169910649589,0.2767185366874076,809.7360705230848,A100
102,C102,62.72483593285995,-2.917535723332071,452.6630932751733,A101
103,C103,60.615948854660296,-7.871685753863271,457.3991155738822,A102
104,C104,58.084050451790596,-12.489404795876736,462.13513787259114,A103
105,C105,60.02459790074152,-16.15335948460878,465.0621606246797,A104
106,C106,56.90081675543137,-20.483516135132252,469.7981829233886,A105
107,C107,54.589267599990436,-28.37043950574535,477.461227974186,A106
108,C108,50.62001027222448,-31.873729101424818,482.19725027289496,A107
109,C109,51.16011882464878,-35.98832265784293,485.1242730249834,A108
110,C110,46.72893214897179,-39.01646289789052,489.86029532369236,A109
111,C111,41.81069915512168,-45.66570495427697,497.52334037448975,A110
112,C112,36.86227153721642,-47.62435798513255,502.2593626731987,A111
113,C113,41.108210259545956,-49.78031748645833,320.4503631265652,A112
114,C114,46.18342862421952,-47.34962165369493,315.7143408278563,A113
115,C115,46.64740585369032,-43.17679674040629,312.7873180757678,A114
116,C116,51.318371645991014,-40.16834702041785,308.05129577705884,A115
117,C117,55.77088522468606,-36.65590980876821,303.3152734783499,A116
118,C118,55.36426905186515,-32.46676445516277,300.38825072626145,A117
119,C119,59.29103950854468,-28.473989456830346,295.6522284275525,A118
120,C120,58.274134256360185,-24.406725890984706,292.72520567546405,A119
121,C121,61.6274591448261,-20.011113436940235,287.9891833767551,A120
122,C122,64.60498034599942,-15.216215555757824,283.2531610780461,A121
123,C123,62.7681057447947,-11.436481025925357,280.3261383259577,A122
124,C124,65.09157138984143,-6.370947806655953,275.5901160272487,A123
125,C125,64.37610419009344,2.330107936383213,627.9270709764513,A124
126,C126,68.3381007598935,4.637170370956715,806.1180714298177,A125
127,C127,66.95892971662046,-0.9982138096202076,450.85409372853974,A126
128,C128,69.27200345254765,-4.578110535726873,453.7811164806152,A127
129,C129,67.1656596684769,-10.05851589838675,458.5171387793241,A128
130,C130,68.94057949213739,-13.956165120832136,461.44416153141265,A129
131,C131,66.12301876189036,-19.185715864204568,466.18018383012156,A130
132,C132,62.892403903492685,-24.036659030008526,470.91620612884356,A131
133,C133,63.818603954595424,-28.204894093027658,473.843228880919,A132
134,C134,59.95393562129072,-32.65978698224934,478.57925117962793,A133
135,C135,55.814130592268576,-40.91307567885554,486.2422962304253,A134
136,C136,51.103127046608954,-44.389330664749465,490.9783185291343,A135
137,C137,50.52196007156854,-48.62744071030513,493.9053412812227,A136
138,C138,45.34770091580975,-51.51178933639239,498.6413635799317,A137
139,C139,40.02952233669677,-53.85537672912393,503.3773858786537,A138
140,C140,42.60097446682671,-59.71424212491634,324.49540908410864,A139
141,C141,44.15027532610417,-55.64068939900498,321.56838633202017,A140
142,C142,49.58213623233302,-52.85941487997574,316.8323640333112,A141
143,C143,54.82893877477294,-49.53538932999721,312.0963417346023,A142
144,C144,55.49861923220838,-45.21410429812425,309.1693189825138,A143
145,C145,60.225232099912645,-41.288505378557396,304.4332966838049,A144
146,C146,60.26472734280825,-36.939350156538254,301.5062739317164,A145
147,C147,64.40507832064446,-32.49138496780391,296.77025163300743,A146
148,C148,68.18762086276217,-27.596984506825404,292.0342293342985,A147
149,C149,67.31844950429506,-23.320586140875243,289.10720658221004,A148
150,C150,70.40988503509045,-18.040445062937593,284.37118428350107,A149
151,C151,73.05253684220861,-12.402030846256158,279.63516198479215,A150
